iter	Passed	Remaining
0	36	36051
1	95	47867
2	146	48625
3	214	53511
4	295	58847
5	360	59711
6	431	61151
7	485	60172
8	536	59104
9	578	57257
10	625	56275
11	684	56345
12	745	56584
13	808	56933
14	858	56346
15	907	55838
16	955	55244
17	998	54452
18	1048	54114
19	1101	53951
20	1139	53121
21	1195	53128
22	1237	52575
23	1282	52166
24	1356	52894
25	1405	52665
26	1447	52147
27	1495	51918
28	1543	51673
29	1586	51298
30	1632	51024
31	1695	51286
32	1768	51833
33	1849	52560
34	1906	52562
35	1945	52105
36	2009	52305
37	2055	52043
38	2102	51807
39	2152	51651
40	2210	51711
41	2266	51687
42	2328	51817
43	2393	52004
44	2449	51992
45	2517	52218
46	2571	52143
47	2638	52332
48	2710	52605
49	2778	52792
50	2833	52731
51	2896	52808
52	2954	52797
53	3014	52817
54	3078	52890
55	3127	52712
56	3159	52277
57	3187	51765
58	3221	51387
59	3256	51015
60	3291	50660
61	3320	50240
62	3356	49921
63	3390	49591
64	3428	49323
65	3459	48954
66	3491	48615
67	3532	48419
68	3580	48304
69	3611	47986
70	3656	47841
71	3714	47870
72	3758	47729
73	3789	47419
74	3823	47160
75	3860	46940
76	3890	46638
77	3932	46480
78	3967	46252
79	4005	46065
80	4047	45926
81	4096	45857
82	4143	45780
83	4190	45699
84	4239	45641
85	4299	45694
86	4354	45699
87	4421	45821
88	4484	45901
89	4547	45975
90	4596	45915
91	4638	45779
92	4694	45785
93	4736	45650
94	4782	45558
95	4851	45688
96	4934	45936
97	4996	45986
98	5063	46085
99	5119	46075
100	5158	45914
101	5221	45966
102	5279	45979
103	5334	45954
104	5399	46022
105	5464	46090
106	5527	46134
107	5574	46044
108	5625	45987
109	5696	46092
110	5764	46168
111	5816	46120
112	5856	45967
113	5912	45948
114	5990	46101
115	6055	46146
116	6126	46239
117	6184	46229
118	6248	46258
119	6317	46331
120	6369	46270
121	6417	46185
122	6477	46182
123	6523	46085
124	6570	45992
125	6630	45989
126	6681	45928
127	6734	45876
128	6794	45879
129	6857	45891
130	6921	45914
131	6981	45911
132	7045	45926
133	7104	45913
134	7178	45992
135	7252	46072
136	7317	46096
137	7383	46119
138	7452	46165
139	7512	46146
140	7569	46116
141	7632	46114
142	7693	46105
143	7770	46192
144	7818	46102
145	7868	46025
146	7913	45918
147	7956	45801
148	8002	45703
149	8049	45614
150	8084	45455
151	8122	45315
152	8168	45217
153	8211	45109
154	8254	44999
155	8295	44882
156	8342	44797
157	8376	44641
158	8416	44516
159	8452	44373
160	8485	44221
161	8524	44097
162	8555	43933
163	8592	43799
164	8638	43714
165	8688	43652
166	8740	43596
167	8785	43509
168	8829	43415
169	8873	43324
170	8928	43284
171	8965	43158
172	9002	43036
173	9037	42904
174	9072	42768
175	9102	42614
176	9151	42553
177	9193	42453
178	9225	42312
179	9260	42187
180	9299	42079
181	9342	41988
182	9382	41888
183	9426	41804
184	9460	41678
185	9505	41601
186	9538	41470
187	9575	41359
188	9623	41292
189	9661	41188
190	9704	41104
191	9747	41018
192	9783	40906
193	9822	40808
194	9864	40724
195	9897	40601
196	9940	40519
197	9988	40457
198	10030	40375
199	10062	40249
200	10113	40202
201	10152	40107
202	10191	40013
203	10240	39958
204	10278	39860
205	10323	39791
206	10369	39725
207	10405	39619
208	10446	39536
209	10490	39463
210	10532	39383
211	10566	39275
212	10626	39263
213	10667	39180
214	10700	39068
215	10746	39004
216	10780	38898
217	10814	38794
218	10867	38754
219	10912	38689
220	10958	38629
221	11000	38550
222	11037	38457
223	11083	38396
224	11123	38315
225	11170	38256
226	11212	38182
227	11256	38114
228	11297	38035
229	11340	37966
230	11377	37877
231	11423	37815
232	11460	37726
233	11513	37690
234	11559	37629
235	11601	37556
236	11644	37489
237	11688	37422
238	11730	37352
239	11770	37274
240	11813	37205
241	11849	37114
242	11891	37045
243	11926	36951
244	11968	36881
245	12012	36817
246	12055	36752
247	12092	36669
248	12127	36578
249	12171	36514
250	12206	36423
251	12239	36330
252	12285	36273
253	12316	36175
254	12355	36096
255	12392	36014
256	12429	35935
257	12475	35879
258	12510	35793
259	12544	35703
260	12581	35623
261	12614	35533
262	12657	35468
263	12698	35401
264	12733	35318
265	12771	35241
266	12822	35201
267	12867	35145
268	12904	35067
269	12953	35023
270	12995	34958
271	13040	34901
272	13092	34866
273	13130	34790
274	13172	34726
275	13206	34642
276	13245	34571
277	13289	34513
278	13340	34475
279	13380	34405
280	13412	34319
281	13474	34308
282	13512	34235
283	13548	34158
284	13586	34084
285	13626	34017
286	13666	33953
287	13718	33915
288	13763	33861
289	13805	33799
290	13844	33730
291	13885	33666
292	13919	33587
293	13955	33511
294	13994	33445
295	14026	33361
296	14064	33290
297	14095	33204
298	14142	33157
299	14180	33087
300	14234	33055
301	14274	32992
302	14312	32922
303	14347	32847
304	14401	32816
305	14434	32737
306	14469	32661
307	14520	32623
308	14557	32553
309	14600	32496
310	14645	32447
311	14678	32367
312	14717	32303
313	14754	32233
314	14796	32176
315	14833	32108
316	14872	32043
317	14912	31982
318	14955	31927
319	15002	31881
320	15045	31824
321	15096	31786
322	15128	31708
323	15164	31639
324	15201	31572
325	15248	31525
326	15290	31469
327	15329	31407
328	15378	31364
329	15426	31321
330	15471	31270
331	15508	31203
332	15548	31142
333	15588	31082
334	15624	31016
335	15659	30946
336	15692	30872
337	15725	30800
338	15779	30766
339	15816	30702
340	15851	30633
341	15889	30570
342	15942	30537
343	15986	30485
344	16027	30429
345	16071	30378
346	16111	30319
347	16161	30279
348	16203	30225
349	16244	30168
350	16287	30116
351	16323	30049
352	16367	29998
353	16406	29939
354	16459	29904
355	16498	29844
356	16537	29785
357	16579	29732
358	16618	29673
359	16667	29630
360	16702	29564
361	16740	29503
362	16793	29470
363	16841	29426
364	16879	29366
365	16919	29307
366	16959	29251
367	16994	29185
368	17028	29119
369	17064	29056
370	17101	28993
371	17132	28923
372	17170	28862
373	17219	28822
374	17264	28774
375	17300	28710
376	17342	28658
377	17394	28622
378	17436	28569
379	17470	28504
380	17504	28438
381	17545	28385
382	17585	28329
383	17630	28281
384	17670	28227
385	17702	28158
386	17758	28129
387	17799	28075
388	17839	28019
389	17878	27964
390	17912	27899
391	17963	27861
392	18010	27816
393	18047	27758
394	18091	27710
395	18132	27656
396	18175	27607
397	18216	27553
398	18253	27495
399	18289	27434
400	18330	27381
401	18371	27329
402	18417	27283
403	18471	27250
404	18509	27193
405	18561	27156
406	18596	27095
407	18638	27043
408	18677	26988
409	18728	26950
410	18762	26887
411	18813	26850
412	18848	26789
413	18885	26731
414	18919	26669
415	18961	26618
416	18991	26552
417	19026	26490
418	19064	26434
419	19107	26386
420	19146	26332
421	19187	26280
422	19221	26219
423	19254	26156
424	19298	26109
