iter	Passed	Remaining
0	34	34632
1	68	34069
2	108	35934
3	154	38435
4	200	39897
5	249	41320
6	298	42376
7	342	42489
8	399	43970
9	441	43732
10	492	44258
11	531	43797
12	568	43125
13	604	42584
14	659	43313
15	716	44041
16	762	44090
17	803	43819
18	845	43662
19	908	44510
20	946	44137
21	987	43911
22	1031	43821
23	1087	44240
24	1134	44257
25	1191	44630
26	1251	45098
27	1307	45374
28	1357	45448
29	1391	44978
30	1431	44744
31	1476	44662
32	1517	44476
33	1575	44775
34	1623	44764
35	1658	44408
36	1702	44312
37	1747	44238
38	1787	44037
39	1836	44067
40	1899	44430
41	1955	44601
42	2004	44610
43	2047	44485
44	2091	44382
45	2138	44348
46	2180	44215
47	2234	44307
48	2284	44328
49	2331	44304
50	2378	44258
51	2418	44094
52	2477	44265
53	2528	44289
54	2572	44196
55	2621	44193
56	2664	44084
57	2709	44003
58	2752	43896
59	2811	44040
60	2868	44154
61	2911	44054
62	2947	43834
63	3009	44017
64	3063	44070
65	3120	44164
66	3165	44078
67	3207	43962
68	3266	44076
69	3332	44276
70	3396	44443
71	3464	44655
72	3530	44830
73	3584	44852
74	3624	44698
75	3663	44540
76	3705	44421
77	3745	44273
78	3807	44384
79	3856	44344
80	3892	44168
81	3938	44092
82	3986	44045
83	4026	43910
84	4076	43884
85	4122	43814
86	4179	43862
87	4214	43680
88	4252	43526
89	4290	43381
90	4332	43277
91	4374	43178
92	4424	43153
93	4465	43039
94	4508	42950
95	4550	42853
96	4604	42860
97	4646	42771
98	4687	42661
99	4727	42548
100	4784	42582
101	4826	42495
102	4861	42340
103	4916	42356
104	4965	42329
105	5011	42263
106	5057	42205
107	5114	42241
108	5165	42223
109	5208	42140
110	5248	42035
111	5295	41988
112	5347	41971
113	5408	42036
114	5465	42056
115	5509	41987
116	5562	41977
117	5602	41875
118	5645	41794
119	5699	41799
120	5749	41768
121	5795	41708
122	5838	41630
123	5876	41516
124	5928	41502
125	5980	41484
126	6019	41374
127	6065	41324
128	6113	41274
129	6162	41238
130	6213	41215
131	6252	41112
132	6289	41002
133	6330	40913
134	6377	40861
135	6419	40780
136	6463	40717
137	6506	40644
138	6551	40578
139	6592	40495
140	6640	40453
141	6682	40376
142	6741	40400
143	6793	40382
144	6838	40324
